Theoritical theta	Error rate	mu	Execution time
32000.0	1.014279910453375	0.08	23.335
32000.0	1.0029344076328326	0.08	23.335
32000.0	0.9882381951783439	0.08	23.335
32000.0	1.00284728918235	0.08	23.335
32000.0	1.0029545118906364	0.08	23.335
32000.0	1.0101250305072815	0.08	23.335
32000.0	0.9960922585603141	0.08	23.335
32000.0	1.0021771472555607	0.08	23.335
32000.0	1.002036417450935	0.08	23.335
32000.0	1.0098770779943695	0.08	23.335
32000.0	1.0068815435816214	0.08	23.335
32000.0	1.0044422269681086	0.08	23.335
32000.0	0.9982635184031114	0.08	23.335
32000.0	0.9962865997190831	0.08	23.335
32000.0	0.9963469124924941	0.08	23.335
32000.0	1.0098301680594943	0.08	23.335
32000.0	1.0000863044439783	0.08	23.335
32000.0	1.0101451347650854	0.08	23.335
32000.0	0.9982501155645755	0.08	23.335
32000.0	0.9950066286389155	0.08	23.335
32000.0	1.0135762614302464	0.08	23.335
32000.0	0.9917631417132554	0.08	23.335
32000.0	0.9998115462539946	0.08	23.335
32000.0	0.9988197362023464	0.08	23.335
32000.0	1.0000125888320315	0.08	23.335
32000.0	0.9917430374554517	0.08	23.335
32000.0	1.001842076292166	0.08	23.335
32000.0	0.9961726755915289	0.08	23.335
32000.0	0.9890289626519551	0.08	23.335
32000.0	0.9930900227282982	0.08	23.335
32000.0	0.9987594234289355	0.08	23.335
32000.0	0.9971912913202485	0.08	23.335
32000.0	1.0014198868782889	0.08	23.335
32000.0	1.0037117722679083	0.08	23.335
32000.0	0.9913878622342535	0.08	23.335
32000.0	0.996601566424674	0.08	23.335
32000.0	1.0073774486074456	0.08	23.335
32000.0	0.9973789310597495	0.08	23.335
32000.0	0.9990207787803832	0.08	23.335
32000.0	0.9976804949268048	0.08	23.335
80000.0	1.0049367917100789	0.2	129.606
80000.0	0.998538276593095	0.2	129.606
80000.0	1.0042049967260251	0.2	129.606
80000.0	0.9968816857500719	0.2	129.606
80000.0	0.9978064816090411	0.2	129.606
80000.0	1.009115796765537	0.2	129.606
80000.0	0.9952331366101703	0.2	129.606
80000.0	0.9998383519310663	0.2	129.606
80000.0	1.0041111768562747	0.2	129.606
80000.0	1.0027923375443533	0.2	129.606
80000.0	1.0045293454185913	0.2	129.606
80000.0	0.9971524230884948	0.2	129.606
80000.0	1.004116537991689	0.2	129.606
80000.0	1.003414229252414	0.2	129.606
80000.0	0.9965841427345775	0.2	129.606
80000.0	1.0058991155169483	0.2	129.606
80000.0	1.004818846730964	0.2	129.606
80000.0	1.000685411326528	0.2	129.606
80000.0	1.0074699281933424	0.2	129.606
80000.0	0.9998088656862876	0.2	129.606
80000.0	0.9991253209209624	0.2	129.606
80000.0	0.996029265219196	0.2	129.606
80000.0	0.9975759527862256	0.2	129.606
80000.0	1.0056605449910114	0.2	129.606
80000.0	1.0047759576476496	0.2	129.606
80000.0	0.9995381283478646	0.2	129.606
80000.0	0.997752870254898	0.2	129.606
80000.0	0.9982648586869649	0.2	129.606
80000.0	0.9971095340051803	0.2	129.606
80000.0	0.9998222685248233	0.2	129.606
80000.0	1.002052500857178	0.2	129.606
80000.0	0.9990958346761838	0.2	129.606
80000.0	1.00324803405457	0.2	129.606
80000.0	1.0012295665710809	0.2	129.606
80000.0	0.9917832459710592	0.2	129.606
80000.0	1.0006237582692632	0.2	129.606
80000.0	0.9931556966371236	0.2	129.606
80000.0	0.9989912925356046	0.2	129.606
80000.0	0.9991467654626196	0.2	129.606
80000.0	1.0040548849344242	0.2	129.606
80000.0	1.0000152693997386	0.2	129.606
80000.0	1.0016879436490045	0.2	129.606
80000.0	1.002395613523694	0.2	129.606
